Ryutaro Umeno,Hanshin Tigers,1,img/htume.png
Ryutaro Umeno,Hanshin Tigers,2,img/htume2.png
Ryutaro Umeno,Hanshin Tigers,3,img/htume3.png
Ryutaro Umeno,Hanshin Tigers,4,img/htume4.png
Masashi Ito,Hanshin Tigers,1,img/itomasa.png
Masashi Ito,Hanshin Tigers,2,img/itomasa2.png
Masashi Ito,Hanshin Tigers,3,img/itomasa3.png
Masashi Ito,Hanshin Tigers,4,img/itomasa4.png
Shota Morishita,Hanshin Tigers,1,img/godM.png
Shota Morishita,Hanshin Tigers,2,img/godM2.png
Shota Morishita,Hanshin Tigers,3,img/godM3.png
Shota Morishita,Hanshin Tigers,4,img/godM4.png
Hiroto Saiki,Hanshin Tigers,1,img/godS.png
Hiroto Saiki,Hanshin Tigers,2,img/godS2.png
Hiroto Saiki,Hanshin Tigers,3,img/godS3.png
Hiroto Saiki,Hanshin Tigers,4,img/godS4.png
Yusuke Ohyama,Hanshin Tigers,1,img/ohyama.png
Yusuke Ohyama,Hanshin Tigers,2,img/ohyama2.png
Yusuke Ohyama,Hanshin Tigers,3,img/ohyama3.png
Yusuke Ohyama,Hanshin Tigers,4,img/ohyama4.png
Teruaki Sato,Hanshin Tigers,1,img/satoteru.png
Teruaki Sato,Hanshin Tigers,2,img/satoteru2.png
Teruaki Sato,Hanshin Tigers,3,img/satoteru3.png
Teruaki Sato,Hanshin Tigers,4,img/satoteru4.png
Shosei Togo,Yomiuri Giants,1,img/aceT.png
Shosei Togo,Yomiuri Giants,2,img/aceT2.png
Shosei Togo,Yomiuri Giants,3,img/aceT3.png
Shosei Togo,Yomiuri Giants,4,img/aceT4.png
Shogo Asano,Yomiuri Giants,1,img/notveteran.png
Shogo Asano,Yomiuri Giants,2,img/notveteran2.png
Shogo Asano,Yomiuri Giants,3,img/notveteran3.png
Shogo Asano,Yomiuri Giants,4,img/notveteran4.png
Tomoyuki Sugano,Yomiuri Giants,1,img/aceS.png
Tomoyuki Sugano,Yomiuri Giants,2,img/aceS2.png
Tomoyuki Sugano,Yomiuri Giants,3,img/aceS3.png
Tomoyuki Sugano,Yomiuri Giants,4,img/aceS4.png
Kazuma Okamoto,Yomiuri Giants,1,img/wakadaisho.png
Kazuma Okamoto,Yomiuri Giants,2,img/wakadaisho2.png
Kazuma Okamoto,Yomiuri Giants,3,img/wakadaisho3.png
Kazuma Okamoto,Yomiuri Giants,4,img/wakadaisho4.png
Hayato Sakamoto,Yomiuri Giants,1,img/sakamotoH.png
Hayato Sakamoto,Yomiuri Giants,2,img/sakamotoH2.png
Hayato Sakamoto,Yomiuri Giants,3,img/sakamotoH3.png
